,Id,Title,Year,ImdbLink,IMDBScore,FirstGenre,SecondGenre,ThirdGenre,Director,FirstLeadingActor,SecondLeadingActor,ThirdLeadingActor,Poster
5322,5323,Earth vs. the Spider (2001),2001,http://www.imdb.com/title/tt0282178,4.3,Horror,Sci-Fi,Thriller,Scott Ziehl,Dan Aykroyd,Devon Gummersall,Amelia Heinle,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMDk0NjQ0Nl5BMl5BanBnXkFtZTcwMDEyNjAyMQ@@._V1_UY268_CR1,0,182,268_AL_.jpg"
5323,5324,The Invisible Woman (2013),2013,http://www.imdb.com/title/tt01700845,6.1,Biography,Drama,History,Ralph Fiennes,Ralph Fiennes,Felicity Jones,Kristin Scott Thomas,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzQxMTI3MDUzOF5BMl5BanBnXkFtZTgwNzc4MzI1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5324,5325,Hunting Elephants (2013),2013,http://www.imdb.com/title/tt02295196,6.4,Comedy,Crime,Drama,Reshef Levi,Sasson Gabai,Moni Moshonov,Patrick Stewart,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjE3Njc2OTM0MF5BMl5BanBnXkFtZTgwMzQ1NTg4OTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5325,5326,Underdogs (2013),2013,http://www.imdb.com/title/tt01634003,6.6,Animation,Adventure,Family,Juan JosĂ© Campanella,Gabriel AlmirĂłn,Federico Cecere,Ezequiel Cipols,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MjA0NzA3NV5BMl5BanBnXkFtZTgwODgyNjk5NTE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5326,5327,The Railway Man (2013),2013,http://www.imdb.com/title/tt02058107,7.1,Biography,Drama,Romance,Jonathan Teplitzky,Colin Firth,Nicole Kidman,Stellan SkarsgĂĄrd,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNDU1NjE0NF5BMl5BanBnXkFtZTgwODA3NDczMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5327,5328,Sand Sharks (2012),2012,http://www.imdb.com/title/tt01844770,2.6,Comedy,Horror,Sci-Fi,Mark Atkins,Corin Nemec,Brooke Hogan,Vanessa Evigan,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzg5NjgwNTE0Nl5BMl5BanBnXkFtZTcwNTQ0NzAzOA@@._V1_UY268_CR3,0,182,268_AL_.jpg"
5328,5329,Diana (2013),2013,http://www.imdb.com/title/tt01758595,5.5,Biography,Drama,Romance,Oliver Hirschbiegel,Naomi Watts,Naveen Andrews,Cas Anvar,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NDg0Njg3N15BMl5BanBnXkFtZTgwMTMxMzMzMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5329,5330,We Are What We Are (2013),2013,http://www.imdb.com/title/tt02309021,5.9,Drama,Horror,Thriller,Jim Mickle,Bill Sage,Ambyr Childers,Julia Garner,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NjI3NjAyN15BMl5BanBnXkFtZTgwODE3NzMxMDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5330,5331,Dragon Ball Z: Lord Slug (1991),1991,http://www.imdb.com/title/tt0142244,6.8,Animation,Action,Fantasy,Mitsuo Hashimoto,Masako Nozawa,Toshio Furukawa,Mayumi Tanaka,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2NzgyNjY3OF5BMl5BanBnXkFtZTYwNzY0MTM5._V1_UX182_CR0,0,182,268_AL_.jpg"
5331,5332,Resistance (2011),2011,http://www.imdb.com/title/tt01391116,4.9,Drama,Thriller,War,Amit Gupta,Michael Sheen,Tom Wlaschiha,Alexander Dreymon,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNTAyODA5Nl5BMl5BanBnXkFtZTcwNDI2NTc4Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5332,5333,A Turtle's Tale 2: Sammy's Escape from Paradise (2012),2012,http://www.imdb.com/title/tt02288005,5.7,Animation,Adventure,Family,Vincent Kesteloot,Alan Shearman,Thomas Lee,Cinda Adams,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzNjc2MDIwOV5BMl5BanBnXkFtZTgwODMwNzA2MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5333,5334,Dragon Crusaders (2011),2011,http://www.imdb.com/title/tt01999141,2.8,Action,Adventure,Fantasy,Mark Atkins,Dylan Jones,Cecily Fay,Feth Greenwood,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNDk3ODMzMl5BMl5BanBnXkFtZTcwNTA5ODkwNg@@._V1_UY268_CR4,0,182,268_AL_.jpg"
5334,5335,Rise of the Zombies (2012),2012,http://www.imdb.com/title/tt02236182,4,Action,Horror,Thriller,Nick Lyon,Mariel Hemingway,Ethan Suplee,LeVar Burton,"https://images-na.ssl-images-amazon.com/images/M/MV5BNTc2OTM0MTE3NV5BMl5BanBnXkFtZTgwMTA2MzA1MDE@._V1_UY268_CR2,0,182,268_AL_.jpg"
5335,5336,Travelling Salesman (2012),2012,http://www.imdb.com/title/tt01801123,5.9,Drama,Mystery,Sci-Fi,Timothy Lanzone,Danny Barclay,Eric Bloom,David John Cole,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzQzMjY1NV5BMl5BanBnXkFtZTcwNDkwMDA5Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
5336,5337,Ride Along (2014),2014,http://www.imdb.com/title/tt01408253,6.2,Action,Comedy,Crime,Tim Story,Ice Cube,Kevin Hart,Tika Sumpter,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjU4NzYzOTY1MF5BMl5BanBnXkFtZTgwMTAyNTc1MDE@._V1_UX182_CR0,0,182,268_AL_.jpg"
5337,5338,Breakaway (2011),2011,http://www.imdb.com/title/tt01736552,5.8,Comedy,Drama,Sport,Robert Lieberman,Vinay Virmani,Camilla Belle,Russell Peters,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTY3MjI5NV5BMl5BanBnXkFtZTcwNTYzNTEzOQ@@._V1_UY268_CR4,0,182,268_AL_.jpg"
